last,first,instructor_avg,course_avg,overall_avg,courses,confidence
Abbasian,Javad,4.5,4.34,4.42,"['CHE351', 'CHE494', 'CHE451', 'CHE503', 'CHE496', 'CHE296']",18
Abdolhossein Pour,Farid,4.5,4.4,4.45,['ARCH497'],1
Acosta,Andrew,3.31,3.62,3.465,"['MSF545', 'MSF585']",2
Acosta,Ivan,,,,['AS301'],
Adams,Aaron,4.55,4.55,4.55,['ARCH202'],1
Adams,Bernhard,,,,['BME431'],
Adams,Kate,4.56,4.49,4.525,"['PESL031', 'PESL022', 'PESL021']",3
Ade-Oshifogun,Olawale,2.2,2.78,2.49,"['ITMD421', 'IT']",2
Aderangi,Nader,4.34,4.17,4.255,"['CHE301', 'CHE302', 'CHE418', 'CHE202', 'CHE317', 'CHE351']",39
Adler,Andre,3.77,4.16,3.965,"['MATH474', 'MATH251', 'MATH252', 'MATH475', 'MATH151', 'MATH483', 'MATH540', 'MATH333', 'MATH476']",24
Agam,Gady,4.37,4.37,4.37,"['CS411', 'CS584', 'CS512', 'CS422']",12
Ahmadi,Omid,4.27,3.95,4.109999999999999,"['PHYS224', 'PHYS221', 'PHYS123', 'PHYS413']",7
Ahmed,Shujaat,,,,['PSYC301'],
Akbas,Bulent,,,,['CAE431'],
Aldawud,Omar,4.35,4.32,4.335,"['CS445', 'CS487', 'CSP585', 'CS525', 'CS425', 'ITM312', 'ITM311', 'ITMD466', 'ITMD422', 'ITMD527', 'ITMD413', 'IT']",32
Alexis,Jeremy,4.09,3.81,3.95,"['ID535', 'ID536', 'ID570', 'ID573', 'ID574', 'ID519', 'ID537', 'IPRO497', 'ID533', 'ID534', 'ID580', 'ID598', 'IPRO397', 'ID584', 'IPMM501', 'IPRO100', 'IDX542', 'IDX544']",25
Alimoradi,Arzhang,4.19,4.27,4.23,['CAE431'],1
Allison,Fallon,4.21,3.98,4.095,['LIT380'],3
Alpan,Mete,3.48,3.48,3.48,"['MMAE232', 'MMAE323', 'CAE530', 'MMAE525']",1
Altshuler,Joseph,,,,['ARCH438'],
Ammigan,Kavin,2.91,3.5,3.205,['MMAE320'],1
Anagnost,Adrian,4.75,4.25,4.5,['AAH322'],1
Anand,Sachin,3.97,3.99,3.9800000000000004,"['ARCH403', 'ARCH404', 'ARCH513', 'ARCH514']",13
Anand,Smriti,4.49,4.26,4.375,"['BUS301', 'MBA506', 'MSC611']",15
Anastasio,Mark,3.85,3.92,3.885,"['BME330', 'BME542', 'BME309']",2
Andersen,Leslie,4.81,4.79,4.8,"['COOP012', 'COOP013', 'COOP022', 'COOP032', 'COOP043', 'INTR015']",5
Anderson,John,4.44,4.89,4.665,['CHE351'],1
Anderson,Paul,4.19,4.09,4.140000000000001,"['CAE593', 'EM507', 'ENVE501', 'ENVE506', 'ENVE485', 'ENVE585', 'CHE426', 'CAE523', 'CAE589', 'ENVE404', 'ENVE542', 'CAE302']",28
Anderson,Rebecca,3.87,4.0,3.935,['PSYC301'],1
Anderson,Robert,4.59,4.47,4.529999999999999,"['CHE543', 'CHE506']",24
Anjali,Tricha,3.75,3.91,3.83,"['ECE407', 'ECE545', 'ECE542', 'ECE544']",13
Anthony,Sean,4.41,4.5,4.455,"['COM125', 'HUM380', 'LIT380']",3
Antler,Caroline,,,,['PSYC303'],
Arastoopour,Hamid,4.53,4.32,4.425000000000001,"['BME301', 'CHE301', 'CHE406', 'CHE542']",12
Araujo,Fabiana,4.27,3.8,4.035,['PSYC222'],1
Arditi,David,4.65,4.47,4.5600000000000005,"['CAE574', 'CAE575', 'CAE473', 'CAE577']",32
Arfanakis,Konstantinos,4.34,4.1,4.22,"['BME309', 'BME438']",8
Argamon,Shlomo,3.59,3.81,3.7,"['CS480', 'CS481', 'CS425', 'CS584', 'CS585', 'CSP572']",9
