last,first,rmp_rating,confidence
Abarji, Snejana,3.3,3
Abbasian, Javad,2.9,11
Abdolhossein Pour, Farid,,0
Adams, Aaron,5.0,2
Ade-Oshifogun, Olawale,1.0,1
Aderangi, Nader,2.7,14
Adler, Andre,3.0,66
Agam, Gady,2.4,25
Ahmadi, Omid,4.4,5
Aldawud, Omar,2.4,37
Ammigan, Kavin,4.0,4
Anastasio, Mark,3.8,2
Anderson, Paul,1.5,2
anjali, Tricha,2.2,14
Anthony, Sean,5.0,1
Antler, Caroline,,0
Arastoopour, Hamid,,0
Arditi, David,3.6,5
Arfanakis, Konstantinos,4.2,10
Argamon, Shlomo,2.7,16
Atkin, Guillermo,2.3,22
Attelle, Rohan,4.0,35
Axelrod, Leslie,4.2,14
Ayman, Roya,1.4,4
Ayodele, Timothy,5.0,1
Bach, Patricia,4.0,1
Bader, Atef,4.7,18
Bahramirad, Shaghayegh,3.0,1
Banerjee, Somdev,2.0,2
Barbarosoglu, Bahadir,5.0,1
Bariff, Martin,2.3,2
Barrea, Raul,2.6,7
Batchos, Elisabeth,4.5,3
Batchos, Lisa,4.5,2
Batson, L,4.2,5
Bauer, Charles,4.4,8
Bauer, Matthew,4.0,46
Beckman, Mattox,4.6,36
Bekyarova, Tanya,4.7,7
Ben-Ze'Ev, Dror,4.5,20
Bettler, John,4.3,5
Bhushan, Abhinav,1.0,1
Bielecki, Tomasz,2.3,4
Bilgic, Mustafa,4.3,35
Bishnoi, Sandra,4.5,2
Bistriceanu, Virgil,2.5,21
Bliss, Daniel,3.1,6
Blitz, David,5.0,3
Bogdan, Korel,3.9,8
Boliske, Dylan,4.2,5
Bongolan-Walsh, Vena,1.3,12
Bonvicini, Andrew,4.5,1
Borkar, Suresh,2.7,47
Boukydis, Zack,2.5,1
Braband, Jim,2.5,4
Brankov, Jovan,3.3,3
Braucher, Charles,3.4,9
Brennan, Thomas,5.0,1
Brey, Eric,4.2,9
Briggs, William,4.0,2
Briley, Bruce,4.5,3
Broadhead, Glenn,3.7,7
Broadhead, Marlis,3.0,2
Brock, Thomas,4.0,3
Bronson, Catherine,4.8,3
Brown, Timothy,2.2,3
Brown, Marshall,5.0,1
Brown, M. Gordon,2.0,1
Brown, Ian,3.1,3
Budiman, Jeff,3.0,10
Bunker, Grant,3.8,2
Burton-Freeman, Britt,5.0,2
Cage, Brant,2.3,3
Cai, Lin,2.3,11
Calcaterra, Lidia,3.4,35
Calinescu, Gruia,2.2,16
Cammino, Roberto,4.6,21
Canna, Romina,3.5,3
Carden, Joseph,1.0,1
Carlock-Gonnissen, Meghan,4.0,1
Carlson, C. Robert,3.7,9
Cassel, Kelvin,3.5,13
Cassel, Kevin,4.8,8
Cesarone, John,4.0,8
Chakravarti, Arjun,,0
Chapman, Dean,4.7,5
Chaudoin, Greg,4.4,11
Chen, Xin,5.0,4
Chen, Wei,4.0,1
Cheng, YU,1.6,5
Cherwin, Kelly,,0
Chlebus, Edward,2.3,11
Chmielewski, Donald,5.0,5
Choi, Ken,2.7,20
Choi, Yonshik,4.0,10
Chong, Hyun-soon,2.0,1
Chong, Joy,3.0,16
Chung, Rebecca,4.2,9
Cialenco, Igor,4.2,3
Cigularov, Konstantin,4.5,2
Clack, Herek,4.5,2
Clair, Joe,1.0,2
Clarke, Joseph,4.0,1
Coffey, Liam,4.4,4
Coppersmith, Jody,,0
Cork, Douglas,2.2,11
Cornubert, Christophe,,0
Corrigan, Patrick,,0
Cothran, Thomas,5.0,1
Cox, Curtis,1.5,1
Culotta, Aron,4.3,6
Cummings, Michael,4.5,8
Cummings, Ben,2.0,1
Cursio, Joe,,0
Czaplicki, Michael,3.4,4
Daamait, Goyyakka,,0
Dabbert, James,3.5,1
Datta-barua, Seebany,5.0,1
Davids, Carol,3.9,7
Davis, Michael,3.3,6
Davis, Blake,4.3,9
Davis, Michael,,0
de Ojeda, William,1.0,2
Deforest, Paul,2.0,1
Deis, Christopher,4.0,1
Deis, Christopher,2.7,3
Demirdoven , Julide,,0
Derwent, Jennifer,1.1,4
Desantiago, Eduardo,3.0,2
Dhar, Promila,4.2,9
Ding, Yuhan,3.0,1
Dix, Rollin,2.8,5
Dorr, John,5.0,2
DU, Lili,1.9,3
Duan, Jinqiao,3.8,3
Durango-Cohen, E,3.4,5
Durbrow, John,2.5,1
Dushay, Mitch,3.3,2
Easton, Amanda,5.0,6
Edelstein, Warren,3.6,35
Edirisinghe, Indika,5.0,3
El Rouayheb, Salim,2.1,4
El-Maazawi, Mohamed,4.3,40
Ellington, J. Kemp,4.5,7
Ellis, Robert,3.7,9
Elmer, Margaret,,0
Elrad, Tzilla,4.0,1
Emadi, Ali,2.9,13
Emmick, Will,3.1,8
Erdim, Frat,3.3,2
Erickson, John,4.1,12
Faggette, Paul,2.6,9
Fasshauer, Greg,4.8,2
Feinberg, Susan,3.0,1
Feng, Hualong,3.5,12
Ferguson, Dan,2.7,5
Fields, Melanie,4.5,1
Finney, William,1.4,13
Fisher, Thomas,4.2,5
Fitzgerald, Qiang,5.0,1
Flatte, Charlotte,4.1,7
Flavell, Allen,1.5,2
Fleener, David,4.6,4
Fliss, Marta,4.5,4
Flohr, Julie,2.0,4
Flueck, Alexander,2.8,28
Flury, Frank,3.0,2
Fogel, Daniel,4.0,1
Fogel, Brandon,4.5,6
Footlik, Robert,4.0,1
Forneris, Craig,3.8,2
Frank, Maurice,2.1,6
Frieder, Ophir,4.0,1
Friedman, Elizabeth,3.1,5
Friedman, Alon,2.5,2
Fulkerson-Smith, Brett,4.9,4
Gatchell, David,4.8,4
Gehrs, G,4.5,5
Gentry, Thomas,2.5,2
Georgiadis, John,,0
Gidalevitz, David,2.5,11
Gill, Safdar,2.0,2
Ginsburg, Issac,2.6,14
Girman, Chris,5.0,1
Glassman, Ellen,3.0,3
Glavic, Boris,4.7,4
Glodowski, Alan,3.5,17
Gofstein, Susan,,0
Goharian, Nazli,4.0,13
Goins, Bonnie,4.8,2
Gong, Ruoting,3.0,1
Gopal, Gurram,4.5,1
Gordon, Paul,3.1,20
Gordon, Ruthanna,3.9,7
Gore, David,3.5,1
Gorham, Aja,4.4,4
Gorham, Michael,5.0,1
Gosz, Michael,4.3,6
Green, Keith,4.6,26
Greenberg, Lee Edward,2.8,2
Greenhouse, Ted,,0
Grimshaw, William,4.1,13
Grossman, David,3.5,6
Gurbani, Vijay,4.5,7
Haddadian, Ghazale,,0
Haedt-Matt, Alissa,2.8,8
Haferkamp, Bonnie,4.2,3
Haines, Paul,4.5,2
Haines, Phil,,0
Hajek, Jeremy,3.0,14
Hale, Kyle,5.0,4
Hall, Connie,1.9,6
Hall, Carrie,4.7,5
Hamill, Nancy,4.0,1
Hamill-Governale, Nancy,,0
Hanlet, P,2.3,22
Hannigan, Carrie,,0
Hanrath, Jon,4.6,66
Hao, Zhipeng,1.6,4
Haque, Aamer,4.4,15
Harrington, Kevin,3.5,8
Hatziavramidis, Dimitri,1.0,1
Hawkins, Witt,2.0,1
Hazard, Erin,5.0,1
Hazen, Timothy,4.0,1
Hazzard, Erin,4.5,3
Heffron, Anthony,4.0,2
Hemphill, Libby,4.3,2
Hendry, Robert,4.8,9
Hickernell, F,4.2,3
Hicks, Roger,4.5,4
Hicks, Marie,4.3,15
Hield, Christopher,5.0,4
Hildt, Elisabeth,,0
Hock, Adam,2.0,1
Hogan, Thor,4.8,4
Holmgren, Neil,2.0,1
Hood, Cynthia,2.1,17
Hood, Dennis,,0
Hood, Dennis,2.4,12
Hopkins, Joyce,2.0,1
Hosman, Laura,4.8,2
Houston, Eric,3.3,3
Howard, Elizabeth,4.9,4
Howard, Andrew,1.8,17
Huang, Peisong,2.3,2
Huang, Hao,3.0,2
Hudgens, Mary,4.3,6
Humer, Colleen,3.5,9
Hunter, Robert,4.3,9
Hurst, Cedric,,0
Huyck, Margaret,2.7,9
Ireland, Patrick,4.4,5
Irving, Thomas,3.0,14
Ivanov, Kamen,4.3,5
Iverson, Margot,3.8,3
Jachimiec, Nathan,3.4,11
Jack, Cappozzo,4.8,3
Jankovski, Aleksandar,4.0,1
Jin, Kevin,5.0,3
Johnson, Peter,1.9,37
Johnson, Porter,2.8,7
Johnson, Leslie,3.4,5
Johnson, Thomas,5.0,1
Juarez, Oscar,3.7,7
Kallend, John,4.3,40
Kandemir, Emre,,0
Kandemir, Emre,5.0,1
Kang, Lulu,2.9,6
Kang-Mieler, Jennifer,2.2,5
Kaplan, Daniel,1.9,19
Kapoor, Sanjiv,2.2,19
Karuri, Nancy,4.4,4
Kaul, Hemanshu,4.2,3
Keeley, Larry,,0
Keles, Ozgur,4.5,2
Khaligh, Alireza,,0
Khan, Md Ishaque,2.9,9
Khanafseh, Samer,,0
Khelashvili, Gocha,3.6,15
Khokhar, Ashfaq,,0
Khudeira, Soliman,,0
Kibler, Stephen,3.0,3
Killer, Sean,2.5,1
Kim, Joohee,2.3,3
Kimont, Jeffrey,4.5,3
Kintigh, Richard,4.8,3
Klaeschen, Martin,2.8,3
Klymson, Jeffery,4.8,2
Kocurek, Carly,3.0,4
Korah, John,3.0,1
Koutsogiannakis, George,2.5,57
Kowalczyk, Lukasz,3.9,5
Kramer, Alexis,4.1,4
Krawczyk, Robert,5.0,1
Krieglstein, Daniel,5.0,1
Kriegshauser, John,4.5,16
Krikorian, Charles,4.7,7
Krishnamurthy, Kathiravan,5.0,1
Krishnamurthy, Mahesh,3.4,4
Kulp, Jesse,1.3,2
Kuprys, Rima,3.7,3
Ladenson, Robert,3.8,2
Ladeson, Robert,3.3,3
Lahey, Gary,,0
Lam, Christopher,5.0,4
Lan, Zhiling,4.5,4
Lane, Frank,3.9,4
Laurent Meuhleisen, Sally,4.3,23
Lauritsen, Matthew,5.0,4
Lawrence, Halcyon,,0
Le Bihan, Soazig,5.0,1
Lederman, Judy,3.5,1
Lee, Michael,4.3,49
Lee, Eun-Jeong,4.0,2
Legate, Nicole,4.8,5
Leight, Katherine,2.0,1
Lemming, Raymond,3.8,3
Leung, Francis,2.6,15
Leung, Wu-Hon,1.0,1
Lewis, Philip,,0
Lezotte, Dan,4.3,2
Li, Xiaofan,4.1,6
Li, Xiangyang,3.8,6
Li, Shuwang,4.0,8
LI, Zuyi,4.5,2
Li, Zongzhi,,0
Lidinsky, Bill,2.6,5
Lisowski, Ronald,3.3,5
Littlejohn, Bryce,3.0,1
Locicero, Joe,4.2,11
Longinow, Anatol,,0
Longworth, James,2.1,9
Lubin, Arthur,3.0,38
Lyke, Sheldon,,0
Lykos, Peter,2.0,2
Lynerd, Benjamin,5.0,2
Lyons, Elizabeth,4.5,2
Mackiewicz, Jo,5.0,2
Mandal, Braja,3.1,27
Manov, Alexander,2.0,3
Mansury, Yuri,4.0,1
Mansy, Hansen,2.8,5
Mariusz Nieweglowski, Mariusz,2.5,2
Martin, Val,3.5,2
Maslanka, David,4.0,38
Matveeva, Irina,3.2,10
Maughan, Linsey,,0
McClain, Noah,3.5,4
McCormick, David,3.7,6
McCray, Patrick,1.7,29
McHugh, Louis,4.8,2
Mead, Alan,3.6,8
Meade, Kevin,3.3,18
Mehdi, Mohamed,4.9,8
Mehta, Rajendra,,0
Menches, Cindy,,0
Menhart, Nick,3.3,31
Merdan, Huseyin,4.6,10
Mies van der Rohe, Ludwig,3.3,7
Miller, Jennifer,4.8,2
Mills, Jeffrey,3.7,10
Minh, David,2.3,2
Miranda, Jesus,3.8,24
Miranda, Jesus,4.5,6
Misa, Tom,4.5,5
Misa, Thomas,4.0,1
Mitillos, Christodoulos,5.0,2
Modares, Mehdi,2.8,9
Mogul, David,4.5,4
Mohammadi, Jamshid,3.6,4
Moller, Arlen,4.0,5
Monnier, Bruno,,0
Moran, Daniel J.,2.0,1
Moreno, Teresa,4.7,3
Morrison, Timothy,2.5,27
Moschandreas, Demetrios,,0
Moshiri, Ali,,0
Mostovoy, Sheldon,2.8,14
Moulos, Kimberly,4.5,1
Mueller, Bruce,4.7,4
