3.3Abarji, Snejana 3 RATINGS
2.9Abbasian, Javad 11 RATINGS
N/AAbdolhossein Pour, Farid 0 RATINGS
5.0Adams, Aaron 2 RATINGS
1.0Ade-Oshifogun, Olawale 1 RATINGS
2.7Aderangi, Nader 14 RATINGS
3.0Adler, Andre 66 RATINGS
2.4Agam, Gady 25 RATINGS
4.4Ahmadi, Omid 5 RATINGS
2.4Aldawud, Omar 37 RATINGS
4.0Ammigan, Kavin 4 RATINGS
3.8Anastasio, Mark 2 RATINGS
1.5Anderson, Paul 2 RATINGS
2.2anjali, Tricha 14 RATINGS
5.0Anthony, Sean 1 RATINGS
N/AAntler, Caroline 0 RATINGS
N/AArastoopour, Hamid 0 RATINGS
3.6Arditi, David 5 RATINGS
4.2Arfanakis, Konstantinos 10 RATINGS
2.7Argamon, Shlomo 16 RATINGS
2.3Atkin, Guillermo 22 RATINGS
4.0Attelle, Rohan 35 RATINGS
4.2Axelrod, Leslie 14 RATINGS
1.4Ayman, Roya 4 RATINGS
5.0Ayodele, Timothy 1 RATINGS
4.0Bach, Patricia 1 RATINGS
4.7Bader, Atef 18 RATINGS
3.0Bahramirad, Shaghayegh 1 RATINGS
2.0Banerjee, Somdev 2 RATINGS
5.0Barbarosoglu, Bahadir 1 RATINGS
2.3Bariff, Martin 2 RATINGS
2.6Barrea, Raul 7 RATINGS
4.5Batchos, Elisabeth 3 RATINGS
4.5Batchos, Lisa 2 RATINGS
4.2Batson, L 5 RATINGS
4.4Bauer, Charles 8 RATINGS
4.0Bauer, Matthew 46 RATINGS
4.6Beckman, Mattox 36 RATINGS
4.7Bekyarova, Tanya 7 RATINGS
4.5Ben-Ze'Ev, Dror 20 RATINGS
4.3Bettler, John 5 RATINGS
1.0Bhushan, Abhinav 1 RATINGS
2.3Bielecki, Tomasz 4 RATINGS
4.3Bilgic, Mustafa 35 RATINGS
4.5Bishnoi, Sandra 2 RATINGS
2.5Bistriceanu, Virgil 21 RATINGS
3.1Bliss, Daniel 6 RATINGS
5.0Blitz, David 3 RATINGS
3.9Bogdan, Korel 8 RATINGS
4.2Boliske, Dylan 5 RATINGS
1.3Bongolan-Walsh, Vena 12 RATINGS
4.5Bonvicini, Andrew 1 RATINGS
2.7Borkar, Suresh 47 RATINGS
2.5Boukydis, Zack 1 RATINGS
2.5Braband, Jim 4 RATINGS
3.3Brankov, Jovan 3 RATINGS
3.4Braucher, Charles 9 RATINGS
5.0Brennan, Thomas 1 RATINGS
4.2Brey, Eric 9 RATINGS
4.0Briggs, William 2 RATINGS
4.5Briley, Bruce 3 RATINGS
3.7Broadhead, Glenn 7 RATINGS
3.0Broadhead, Marlis 2 RATINGS
4.0Brock, Thomas 3 RATINGS
4.8Bronson, Catherine 3 RATINGS
2.2Brown, Timothy 3 RATINGS
5.0Brown, Marshall 1 RATINGS
2.0Brown, M. Gordon 1 RATINGS
3.1Brown, Ian 3 RATINGS
3.0Budiman, Jeff 10 RATINGS
3.8Bunker, Grant 2 RATINGS
5.0Burton-Freeman, Britt 2 RATINGS
2.3Cage, Brant 3 RATINGS
2.3Cai, Lin 11 RATINGS
3.4Calcaterra, Lidia 35 RATINGS
2.2Calinescu, Gruia 16 RATINGS
4.6Cammino, Roberto 21 RATINGS
3.5Canna, Romina 3 RATINGS
1.0Carden, Joseph 1 RATINGS
4.0Carlock-Gonnissen, Meghan 1 RATINGS
3.7Carlson, C. Robert 9 RATINGS
3.5Cassel, Kelvin 13 RATINGS
4.8Cassel, Kevin 8 RATINGS
4.0Cesarone, John 8 RATINGS
N/AChakravarti, Arjun 0 RATINGS
4.7Chapman, Dean 5 RATINGS
4.4Chaudoin, Greg 11 RATINGS
5.0Chen, Xin 4 RATINGS
4.0Chen, Wei 1 RATINGS
1.6Cheng, YU 5 RATINGS
N/ACherwin, Kelly 0 RATINGS
2.3Chlebus, Edward 11 RATINGS
5.0Chmielewski, Donald 5 RATINGS
2.7Choi, Ken 20 RATINGS
4.0Choi, Yonshik 10 RATINGS
2.0Chong, Hyun-soon 1 RATINGS
3.0Chong, Joy 16 RATINGS
4.2Chung, Rebecca 9 RATINGS
4.2Cialenco, Igor 3 RATINGS
4.5Cigularov, Konstantin 2 RATINGS
4.5Clack, Herek 2 RATINGS
1.0Clair, Joe 2 RATINGS
4.0Clarke, Joseph 1 RATINGS
4.4Coffey, Liam 4 RATINGS
N/ACoppersmith, Jody 0 RATINGS
2.2Cork, Douglas 11 RATINGS
N/ACornubert, Christophe 0 RATINGS
N/ACorrigan, Patrick 0 RATINGS
5.0Cothran, Thomas 1 RATINGS
1.5Cox, Curtis 1 RATINGS
4.3Culotta, Aron 6 RATINGS
4.5Cummings, Michael 8 RATINGS
2.0Cummings, Ben 1 RATINGS
N/ACursio, Joe 0 RATINGS
3.4Czaplicki, Michael 4 RATINGS
